Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
27.07.2021,143.982,141.25,140.074,139.228,137.878,137.682,156.884,168.082,189.042,209.25,214.36,205.58,194.128,201.596,198.038,193.534,190.02,188.124,179.922,178.042,175.068,177.392,148.662,135.962
28.07.2021,136.26,136.812,136.79,134.444,136.924,132.76,141.054,158.398,177.078,194.452,197.426,204.638,204.336,214.492,214.94,210.408,185.448,185.692,183.334,174.478,178.388,172.242,144.474,134.992
29.07.2021,136.744,133.334,136.528,133.158,136.556,133.954,146.91,153.532,183.438,199.234,215.414,216.16,210.988,210.872,204.4,206.938,202.49,193.142,179.416,173.906,173.888,166.924,143.916,134.588
30.07.2021,132.642,135.2,132.76,130.554,136.654,130.474,139.748,147.718,169.22,179.248,186.06,185.136,179.404,181.806,188.072,182.716,175.856,167.754,153.414,150.944,150.396,146.458,133.756,130.98
31.07.2021,128.406,134.32,133.1,133.974,135.45,143.898,145.264,142.176,151.902,156.572,162.64,167.4,169.662,168.028,169.048,175.906,176.2,177.368,173.676,169.428,146.524,135.162,134.844,129.044
01.08.2021,129.17,130.658,132.32,131.118,130.572,124.62,125.156,128.898,129.488,130.004,130.892,133.51,133.776,134.488,134.036,135.46,138.722,140.21,137.87,136.002,132.99,132.416,134.282,128.966
02.08.2021,131.134,131.56,129.224,143.008,147.082,143.822,143.976,147.798,171.51,186.854,185.804,182.688,187.486,193.616,188.874,185.842,181.538,179.964,159.314,153.326,152.498,147.072,134.932,127.768
03.08.2021,126.896,131.962,125.6,126.93,130.402,126.914,136.412,148.276,156.556,171.554,175.124,177.532,184.314,180.08,183.478,180.368,172.568,167.59,155.734,152.868,151.242,148.032,136.418,131.124
04.08.2021,129.968,129.04,129.812,132.058,128.932,131.8,144.018,149.226,170.448,187.784,190.092,199.67,193.502,191.352,188.12,188.702,185.432,178.144,173.91,168.998,161.954,153.19,137.206,130.926
05.08.2021,133.222,128.45,128.02,131.302,130.974,123.474,136.6,143.308,167.242,172.364,183.532,187.948,186.626,194.092,188.928,185.322,178.81,172.02,170.51,169.352,158.492,151.048,132.95,127.134
06.08.2021,127.916,132.772,127.454,129.056,131.79,130.63,138.858,148.038,157.616,185.962,180.144,174.326,174.568,187.798,185,174.582,176.516,171.214,164.36,159.904,157.71,148.758,135.17,134.32
07.08.2021,132.364,131.286,132.006,130.996,131.448,138.192,144.048,143.46,147.934,153.472,157.15,156.746,161.062,162.256,159.808,158.728,161.42,162.27,157.308,150,138.49,129.816,134.098,129.116
08.08.2021,128.546,134.666,132.546,132.738,129.834,129.59,128.176,128.258,131.626,136.076,136.75,132.98,137.58,136.288,142.83,138.76,134.534,132.502,134.29,129.448,131.924,133.008,137.064,135.568
09.08.2021,136.16,134.26,133.404,145.098,144.152,142.848,140.96,148.298,166.296,180.652,185.074,182.154,177.648,185.86,184.024,174.32,170.39,162.004,158.59,160.526,151.296,144.748,136.956,132.064
10.08.2021,130.64,130.974,130.36,131.34,133.468,128.054,140.416,150.488,160.29,180.246,181.23,188.02,186.99,189.14,195.416,188.454,173.082,165.634,164.8,156.822,155.712,155.854,137.67,135.404
