barra_mnemotecnico	barra_referencia_mnemotecnico	fecha	hora	costo_en_dolares	costo_en_pesos	nombre
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	16	303,07	259,15516	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	17	303,07	259,15516	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	18	237,36	202,96654	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	19	158,66	135,67017	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	20	150,35	128,56429	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	21	164,73	140,86062	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	22	165,28	141,33093	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	23	165,28	141,33093	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-06	24	169,49	144,9309	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	1	177,18	151,72101	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	2	175,4	150,19677	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	3	165,21	141,47098	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	4	154,5	132,2999	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	5	140,5	120,31156	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	6	140,5	120,31156	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	7	140,5	120,31156	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	8	75,35	64,52296	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	9	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	10	31,64	27,09365	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	11	42,19	36,12772	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	12	42,19	36,12772	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	13	283,42	242,69538	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-07	14	306,92	262,81867	BA S/E VALDIVIA 220KV BP1
