datetime,pcc,load,cs,cp0,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8,cp9,cp10,cp11,n_ev
2025-02-01 02:11:00,23.7458025943352,23.7458025943352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:12:00,23.742188185293752,23.742188185293752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:13:00,23.738573776252313,23.738573776252313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:14:00,23.73495936721087,23.73495936721087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:15:00,23.731344958169423,23.731344958169423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:16:00,23.727730549127976,23.727730549127976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:17:00,23.72411614008653,23.72411614008653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:18:00,23.720501731045086,23.720501731045086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:19:00,23.716887322003643,23.716887322003643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:20:00,23.71327291296219,23.71327291296219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:21:00,23.709658503920746,23.709658503920746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:22:00,23.706044094879303,23.706044094879303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:23:00,23.702429685837856,23.702429685837856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:24:00,23.69881527679641,23.69881527679641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:25:00,23.695200867754966,23.695200867754966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:26:00,23.69158645871352,23.69158645871352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:27:00,23.68797204967207,23.68797204967207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:28:00,23.684357640630623,23.684357640630623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:29:00,23.680743231589183,23.680743231589183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:30:00,23.677128822547736,23.677128822547736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:31:00,23.673514413506286,23.673514413506286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:32:00,23.669900004464843,23.669900004464843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:33:00,23.6662855954234,23.6662855954234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:34:00,23.662671186381953,23.662671186381953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:35:00,23.66448992617846,23.66448992617846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:36:00,23.667079265114708,23.667079265114708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:37:00,23.669668604050955,23.669668604050955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:38:00,23.67225794298721,23.67225794298721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:39:00,23.674847281923455,23.674847281923455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:40:00,23.677436620859705,23.677436620859705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:41:00,23.68002595979595,23.68002595979595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:42:00,23.6826152987322,23.6826152987322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:43:00,23.68520463766845,23.68520463766845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:44:00,23.687793976604695,23.687793976604695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:45:00,23.69038331554095,23.69038331554095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:46:00,23.6929726544772,23.6929726544772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:47:00,23.695561993413442,23.695561993413442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:48:00,23.698151332349696,23.698151332349696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:49:00,23.700740671285946,23.700740671285946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:50:00,23.703330010222192,23.703330010222192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:51:00,23.70591934915844,23.70591934915844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:52:00,23.70850868809469,23.70850868809469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:53:00,23.711098027030935,23.711098027030935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:54:00,23.713687365967182,23.713687365967182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:55:00,23.71627670490344,23.71627670490344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:56:00,23.718866043839686,23.718866043839686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:57:00,23.72145538277593,23.72145538277593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:58:00,23.724044721712186,23.724044721712186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:59:00,23.726634060648433,23.726634060648433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:00:00,23.72922339958468,23.72922339958468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:01:00,23.73181273852093,23.73181273852093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:02:00,23.734402077457176,23.734402077457176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:03:00,23.736991416393423,23.736991416393423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:04:00,23.73958075532967,23.73958075532967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:05:00,23.742170094265926,23.742170094265926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:06:00,23.744759433202173,23.744759433202173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:07:00,23.747348772138416,23.747348772138416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:08:00,23.749938111074673,23.749938111074673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
